code,name,faculty,facultyCode,url
PAD312,"Public administration 312",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/PAD%20312
PAD322,"Public administration 322",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/PAD%20322
PBL210,"Public Law 210",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/PBL%20210
PBL220,"Public Law 220",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/PBL%20220
OPB210,"Public management 210",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/OPB%20210
PUF110,"Public resource management 110",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/PUF%20110
OBS371,"Responsible leadership 371",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/OBS%20371
OBS214,"Responsible management 214",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/OBS%20214
ROM120,"Roman law 120",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/ROM%20120
IPL320,"Security and strategic studies 320",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/IPL%20320
KTH220,"Specific contracts 220",Law,LAW,https://www.up.ac.za/yearbooks/2026/LAW-faculty/UG-modules/view/KTH%20220
STC110,"Statistics 110",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/STC%20110
STC152,"Statistics 152",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/STC%20152
OBS216,"Supply chain management 216",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/OBS%20216
OBS226,"Supply chain management 226",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/OBS%20226
OBS316,"Supply chain management 316",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/OBS%20316
OBS326,"Supply chain management 326",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/OBS%20326
BEL200,"Taxation 200",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/BEL%20200
TXA201,"Taxation 201",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/TXA%20201
BEL300,"Taxation 300",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/BEL%20300
TXA301,"Taxation 301",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/TXA%20301
TOM210,"Tourism management 210",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/TOM%20210
TOM220,"Tourism management 220",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/TOM%20220
TOM310,"Tourism management 310",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/TOM%20310
TOM320,"Tourism management 320",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/TOM%20320
